STATECD,COUNTYCD,PLOT,INVYR,KEY,TIME_PER
55,139,20221,2000,55_139_20221,0
55,139,20222,2000,55_139_20222,0
55,141,20099,2000,55_141_20099,0
55,141,20084,2000,55_141_20084,0
55,141,20218,2000,55_141_20218,0
55,141,20279,2000,55_141_20279,0
55,141,20085,2000,55_141_20085,0
55,141,20186,2000,55_141_20186,0
55,141,20087,2000,55_141_20087,0
55,105,20276,2000,55_105_20276,0
55,105,20277,2000,55_105_20277,0
55,105,20278,2000,55_105_20278,0
55,105,20279,2000,55_105_20279,0
55,105,20280,2000,55_105_20280,0
55,105,20281,2000,55_105_20281,0
55,105,20282,2000,55_105_20282,0
55,105,20283,2000,55_105_20283,0
55,105,20284,2000,55_105_20284,0
55,105,20285,2000,55_105_20285,0
55,105,20286,2000,55_105_20286,0
55,105,20287,2000,55_105_20287,0
55,9,20244,2000,55_9_20244,0
55,9,20245,2000,55_9_20245,0
55,9,20246,2000,55_9_20246,0
55,9,20247,2000,55_9_20247,0
55,11,20086,2000,55_11_20086,0
55,11,20147,2000,55_11_20147,0
55,11,20177,2000,55_11_20177,0
55,11,20184,2000,55_11_20184,0
55,11,20239,2000,55_11_20239,0
55,11,20050,2000,55_11_20050,0
55,11,20168,2000,55_11_20168,0
55,11,20047,2000,55_11_20047,0
55,11,20120,2000,55_11_20120,0
55,11,20127,2000,55_11_20127,0
55,11,20204,2000,55_11_20204,0
55,11,20106,2000,55_11_20106,0
55,11,20105,2000,55_11_20105,0
55,11,20199,2000,55_11_20199,0
55,11,20230,2000,55_11_20230,0
55,11,20108,2000,55_11_20108,0
55,11,20264,2000,55_11_20264,0
55,11,20265,2000,55_11_20265,0
55,11,20266,2000,55_11_20266,0
55,11,20271,2000,55_11_20271,0
55,11,20272,2000,55_11_20272,0
55,11,20273,2000,55_11_20273,0
55,11,20274,2000,55_11_20274,0
55,11,20275,2000,55_11_20275,0
55,11,20276,2000,55_11_20276,0
55,11,20277,2000,55_11_20277,0
55,11,20278,2000,55_11_20278,0
55,11,20279,2000,55_11_20279,0
55,11,20280,2000,55_11_20280,0
55,11,20281,2000,55_11_20281,0
55,11,20282,2000,55_11_20282,0
55,11,20283,2000,55_11_20283,0
55,13,20350,2000,55_13_20350,0
55,13,20272,2000,55_13_20272,0
55,13,20337,2000,55_13_20337,0
55,13,20024,2000,55_13_20024,0
55,13,20239,2000,55_13_20239,0
55,13,20078,2000,55_13_20078,0
55,13,20275,2000,55_13_20275,0
55,13,20202,2000,55_13_20202,0
55,13,20281,2000,55_13_20281,0
55,13,20343,2000,55_13_20343,0
55,13,20257,2000,55_13_20257,0
