"","STATECD","COUNTYCD","PLOT","INVYR","CONDITION","KEY","TIME_PER","subplot_list"
"368",55,109,20128,2001,"M","55_109_20128",0,"1243"
"369",55,109,20130,2002,"M","55_109_20130",0,"2341"
"370",55,109,20135,2004,"M","55_109_20135",0,"3214"
"371",55,109,20141,2002,"F","55_109_20141",0,"2341"
"372",55,109,20157,2002,"F","55_109_20157",0,"3421"
"373",55,109,20159,2004,"M","55_109_20159",0,"2413"
"374",55,109,20163,2004,"F","55_109_20163",0,"3412"
"375",55,109,20174,2001,"M","55_109_20174",0,"1432"
"376",55,109,20190,2003,"F","55_109_20190",0,"1342"
"377",55,109,20214,2000,"M","55_109_20214",0,"4123"
"378",55,109,20216,2004,"F","55_109_20216",0,"4321"
"379",55,109,20220,2000,"M","55_109_20220",0,"1243"
"380",55,109,20223,2000,"M","55_109_20223",0,"2413"
"381",55,109,20245,2000,"M","55_109_20245",0,"2314"
"382",55,109,20258,2003,"M","55_109_20258",0,"4213"
"383",55,109,20274,2003,"F","55_109_20274",0,"1324"
"384",55,109,20276,2004,"F","55_109_20276",0,"2143"
"385",55,109,20277,2002,"M","55_109_20277",0,"1324"
"386",55,109,20280,2000,"F","55_109_20280",0,"3412"
"387",55,109,20284,2000,"M","55_109_20284",0,"1423"
"388",55,109,20289,2000,"M","55_109_20289",0,"2134"
"389",55,109,20290,2001,"M","55_109_20290",0,"4123"
"390",55,109,20292,2001,"M","55_109_20292",0,"1342"
"391",55,109,20293,2001,"F","55_109_20293",0,"3421"
"392",55,109,20299,2001,"F","55_109_20299",0,"2134"
"393",55,109,20300,2001,"M","55_109_20300",0,"3421"
"394",55,109,20314,2002,"M","55_109_20314",0,"1324"
"395",55,109,20316,2002,"F","55_109_20316",0,"3241"
"396",55,109,20319,2002,"M","55_109_20319",0,"4312"
"397",55,109,20320,2002,"F","55_109_20320",0,"1243"
"398",55,109,20323,2003,"M","55_109_20323",0,"1342"
"399",55,109,20327,2003,"M","55_109_20327",0,"3241"
"400",55,109,20334,2003,"M","55_109_20334",0,"3124"
"401",55,109,20351,2004,"M","55_109_20351",0,"3421"
"402",55,109,20353,2004,"F","55_109_20353",0,"3124"
"403",55,109,20355,2004,"F","55_109_20355",0,"1234"
"404",55,11,20011,2002,"F","55_11_20011",0,"3421"
"405",55,11,20013,2001,"M","55_11_20013",0,"4231"
"406",55,11,20019,2004,"F","55_11_20019",0,"3214"
"407",55,11,20022,2003,"F","55_11_20022",0,"4123"
"408",55,11,20024,2002,"F","55_11_20024",0,"4213"
"409",55,11,20037,2003,"F","55_11_20037",0,"3241"
"410",55,11,20039,2003,"F","55_11_20039",0,"4132"
"411",55,11,20044,2001,"F","55_11_20044",0,"1432"
"412",55,11,20047,2000,"F","55_11_20047",0,"3124"
"413",55,11,20050,2000,"M","55_11_20050",0,"1324"
"414",55,11,20062,2003,"F","55_11_20062",0,"2143"
"415",55,11,20074,2002,"M","55_11_20074",0,"2314"
"416",55,11,20076,2002,"F","55_11_20076",0,"2314"
"417",55,11,20078,2002,"F","55_11_20078",0,"1234"
"418",55,11,20085,2001,"F","55_11_20085",0,"1243"
"419",55,11,20094,2003,"M","55_11_20094",0,"2314"
"420",55,11,20098,2003,"F","55_11_20098",0,"2413"
"421",55,11,20102,2003,"F","55_11_20102",0,"1423"
"422",55,11,20105,2000,"F","55_11_20105",0,"3412"
"423",55,11,20106,2000,"F","55_11_20106",0,"4123"
"424",55,11,20120,2000,"M","55_11_20120",0,"4213"
"425",55,11,20131,2004,"F","55_11_20131",0,"2341"
"426",55,11,20134,2004,"F","55_11_20134",0,"2413"
"427",55,11,20140,2002,"F","55_11_20140",0,"4132"
"428",55,11,20149,2003,"F","55_11_20149",0,"4213"
"429",55,11,20152,2002,"M","55_11_20152",0,"2431"
"430",55,11,20155,2004,"M","55_11_20155",0,"3241"
"431",55,11,20160,2001,"M","55_11_20160",0,"1243"
"432",55,11,20163,2001,"M","55_11_20163",0,"2413"
"433",55,11,20165,2003,"F","55_11_20165",0,"3241"
"434",55,11,20167,2002,"M","55_11_20167",0,"3421"
"435",55,11,20168,2000,"F","55_11_20168",0,"4231"
"436",55,11,20170,2004,"F","55_11_20170",0,"4132"
"437",55,11,20173,2001,"F","55_11_20173",0,"2143"
"438",55,11,20188,2004,"M","55_11_20188",0,"4312"
"439",55,11,20190,2002,"F","55_11_20190",0,"2341"
"440",55,11,20193,2003,"F","55_11_20193",0,"1432"
"441",55,11,20204,2000,"M","55_11_20204",0,"2143"
"442",55,11,20223,2004,"M","55_11_20223",0,"2314"
"443",55,11,20230,2000,"M","55_11_20230",0,"3142"
"444",55,11,20233,2004,"F","55_11_20233",0,"4213"
