MAPVALUE,PLT_KEY
737,55_119_20171_2002_4
738,55_119_20176_2000_1
739,55_119_20177_2003_1
740,55_119_20178_2000_4
741,55_119_20180_2004_4
742,55_119_20184_2001_1
743,55_119_20185_2002_4
744,55_119_20199_2004_2
745,55_119_20202_2000_3
746,55_119_20207_2003_2
747,55_119_20216_2003_4
748,55_119_20231_2004_1
749,55_119_20238_2004_4
750,55_119_20249_2000_4
751,55_119_20254_2001_4
752,55_119_20255_2002_3
753,55_119_20260_2002_3
754,55_119_20263_2004_1
755,55_119_20267_2002_2
756,55_119_20270_2002_1
757,55_119_20272_2002_4
758,55_119_20281_2004_2
759,55_119_20286_2000_2
760,55_119_20291_2001_2
761,55_119_20311_2002_3
762,55_119_20313_2000_1
763,55_119_20317_2003_4
764,55_119_20322_2001_2
765,55_119_20325_2001_3
766,55_119_20326_2000_1
767,55_119_20328_2003_2
768,55_119_20332_2002_4
769,55_119_20347_2000_1
770,55_119_20351_2002_3
771,55_119_20353_2004_4
772,55_119_20355_2002_1
773,55_119_20364_2002_2
774,55_119_20370_2003_3
775,55_119_20371_2003_4
776,55_119_20374_2004_4
777,55_119_20375_2000_3
778,55_119_20376_2000_4
779,55_119_20379_2000_4
780,55_119_20380_2000_1
781,55_119_20381_2000_2
782,55_119_20382_2000_3
783,55_119_20383_2000_1
784,55_119_20384_2000_1
785,55_119_20387_2000_4
786,55_119_20390_2001_2
787,55_119_20391_2001_1
788,55_119_20393_2001_1
789,55_119_20396_2001_4
790,55_119_20397_2001_3
791,55_119_20415_2002_3
792,55_119_20419_2002_4
793,55_119_20421_2002_3
794,55_119_20423_2002_4
795,55_119_20425_2002_2
796,55_119_20426_2002_3
797,55_119_20428_2002_1
798,55_119_20429_2002_1
799,55_119_20431_2003_3
800,55_119_20434_2003_4
801,55_119_20435_2003_4
802,55_119_20436_2003_4
803,55_119_20437_2003_1
804,55_119_20441_2003_1
805,55_119_20461_2004_4
806,55_119_20462_2004_2
807,55_119_20463_2004_4
808,55_119_20465_2004_2
809,55_119_20468_2004_2
810,55_119_20469_2004_1
811,55_119_29001_2004_3
812,55_119_29008_2001_4
813,55_119_29011_2000_2
814,55_119_29016_2003_2
815,55_119_29017_2002_4
816,55_119_29018_2002_3
817,55_119_29022_2002_3
818,55_121_20014_2004_1
819,55_121_20018_2004_2
820,55_121_20046_2001_3
821,55_121_20048_2002_1
822,55_121_20050_2004_3
823,55_121_20052_2001_3
824,55_121_20063_2001_4
825,55_121_20076_2004_4
826,55_121_20079_2004_1
827,55_121_20091_2001_3
828,55_121_20106_2003_4
829,55_121_20127_2000_2
830,55_121_20129_2002_1
831,55_121_20133_2000_4
832,55_121_20140_2000_4
833,55_121_20151_2002_3
834,55_121_20184_2003_4
835,55_121_20201_2000_1
836,55_121_20224_2004_3
837,55_121_20226_2003_4
838,55_121_20239_2000_3
839,55_121_20245_2004_1
840,55_121_20247_2001_1
841,55_121_20269_2000_2
842,55_121_20275_2003_2
843,55_121_20277_2000_1
844,55_121_20280_2000_2
845,55_121_20286_2000_2
846,55_121_20290_2001_2
847,55_121_20293_2001_2
848,55_121_20296_2001_4
849,55_121_20320_2002_4
850,55_121_20323_2002_2
851,55_121_20327_2003_3
852,55_121_20335_2003_4
853,55_121_20336_2003_4
854,55_121_20347_2004_4
855,55_121_20349_2004_3
856,55_121_20359_2004_4
857,55_121_20360_2004_2
858,55_123_20001_2003_1
859,55_123_20003_2004_2
860,55_123_20028_2003_4
861,55_123_20030_2000_4
862,55_123_20031_2001_4
863,55_123_20054_2000_4
864,55_123_20062_2001_1
865,55_123_20063_2002_2
866,55_123_20073_2004_3
867,55_123_20084_2000_2
868,55_123_20088_2001_2
869,55_123_20091_2003_1
870,55_123_20092_2000_4
871,55_123_20100_2002_1
872,55_123_20101_2000_2
873,55_123_20107_2001_4
874,55_123_20110_2003_3
875,55_123_20117_2004_3
876,55_123_20137_2001_1
877,55_123_20138_2002_1
878,55_123_20145_2004_4
879,55_123_20148_2004_1
880,55_123_20149_2002_4
881,55_123_20151_2002_1
882,55_123_20159_2000_2
883,55_123_20160_2001_3
884,55_123_20161_2001_3
885,55_123_20162_2003_1
886,55_123_20182_2002_2
887,55_123_20185_2000_1
888,55_123_20194_2004_4
889,55_123_20196_2004_4
890,55_123_20202_2001_2
891,55_123_20204_2002_1
892,55_123_20209_2001_1
893,55_123_20212_2001_2
894,55_123_20220_2004_1
895,55_123_20228_2002_4
896,55_123_20230_2004_3
897,55_123_20231_2002_4
898,55_123_20233_2003_1
899,55_123_20236_2002_3
900,55_123_20238_2004_1
901,55_123_20240_2001_1
902,55_123_20261_2002_1
903,55_123_20266_2004_1
904,55_123_20277_2004_3
905,55_123_20286_2001_3
906,55_123_20289_2002_2
907,55_123_20310_2000_4
908,55_123_20311_2000_1
909,55_123_20316_2001_2
910,55_123_20320_2001_4
911,55_123_20324_2001_3
912,55_123_20343_2002_3
913,55_123_20344_2002_3
914,55_123_20348_2002_2
915,55_123_20350_2002_3
916,55_123_20354_2003_1
917,55_123_20356_2003_4
918,55_123_20357_2003_4
919,55_123_20358_2003_4
920,55_123_20361_2003_1
921,55_123_20362_2003_4
922,55_123_20381_2004_2
923,55_123_20382_2004_4
924,55_123_20387_2004_2
925,55_123_20388_2004_1
926,55_123_20389_2004_1
927,55_123_20391_2004_1
928,55_125_20001_2002_4
929,55_125_20003_2000_3
930,55_125_20011_2004_1
931,55_125_20014_2003_4
932,55_125_20017_2000_1
933,55_125_20021_2000_2
934,55_125_20025_2000_4
935,55_125_20027_2000_2
936,55_125_20037_2000_2
937,55_125_20041_2000_3
938,55_125_20042_2004_2
939,55_125_20043_2002_1
940,55_125_20049_2002_2
941,55_125_20063_2004_1
942,55_125_20087_2001_1
943,55_125_20088_2004_2
944,55_125_20089_2001_2
945,55_125_20091_2002_1
946,55_125_20098_2002_3
947,55_125_20100_2004_1
948,55_125_20111_2001_3
949,55_125_20119_2001_4
950,55_125_20127_2004_4
951,55_125_20131_2003_2
952,55_125_20143_2004_2
953,55_125_20167_2001_1
954,55_125_20169_2002_2
955,55_125_20170_2002_4
956,55_125_20171_2000_4
957,55_125_20175_2002_4
958,55_125_20176_2003_3
959,55_125_20177_2002_3
960,55_125_20178_2004_4
961,55_125_20191_2000_1
962,55_125_20195_2002_4
963,55_125_20203_2000_1
964,55_125_20210_2002_1
965,55_125_20215_2002_4
966,55_125_20217_2004_1
967,55_125_20224_2001_3
968,55_125_20230_2004_3
969,55_125_20234_2001_2
970,55_125_20236_2001_2
971,55_125_20242_2004_2
972,55_125_20258_2002_3
973,55_125_20259_2003_4
974,55_125_20261_2003_4
975,55_125_20265_2000_4
976,55_125_20270_2004_3
977,55_125_20273_2003_1
978,55_125_20283_2001_3
979,55_125_20294_2002_2
980,55_125_20304_2002_1
981,55_125_20307_2004_1
982,55_125_20312_2001_3
983,55_125_20313_2000_3
984,55_125_20317_2004_1
985,55_125_20323_2000_1
986,55_125_20326_2004_3
987,55_125_20330_2004_1
988,55_125_20331_2004_2
989,55_125_20337_2002_2
990,55_125_20345_2003_2
991,55_125_20350_2002_1
992,55_125_20355_2002_1
993,55_125_20358_2002_2
994,55_125_20364_2000_2
995,55_125_20365_2004_3
